"Owner ID","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism"
"23283.json","0.99916655","0.4271168","0.13302201","4.767701E-4","0.917665"
"9951.json","0.99715966","0.534028","0.051085394","2.1236516E-4","0.9704118"
"88656.json","0.97182906","0.7798542","0.16584513","0.027806409","0.9634347"
"6309.json","0.99182093","0.57196987","0.1787161","0.00256744","0.95052654"
"335858.json","0.9988818","0.6296861","0.20972171","0.0011021536","0.96254516"
"13249.json","0.99267447","0.5014185","0.12294644","9.298578E-4","0.950953"
"18393.json","0.987611","0.67481047","0.18178545","0.019173307","0.9433153"
"267.json","0.99969286","0.64684564","0.20131816","0.008870814","0.968071"
"16883.json","0.9976864","0.348411","0.13855092","3.4552134E-4","0.8951838"
"3732271.json","0.9986949","0.8128072","0.13439675","0.0019094491","0.9872076"
"20860.json","0.9971308","0.3528941","0.32432723","4.709664E-4","0.9405164"
"215945.json","0.99763525","0.38173738","0.25615418","0.0011819869","0.9139867"
"9530.json","0.997883","0.6368993","0.09992309","4.5585033E-4","0.91531944"
"12950.json","0.99617624","0.5643736","0.17218013","6.506738E-4","0.9661466"
"816620.json","0.99396473","0.5079758","0.025793653","1.2950931E-4","0.9174913"
"16417.json","0.9960363","0.67119","0.17747232","0.006832403","0.9493758"
"476.json","0.9986719","0.33156714","0.14696391","2.6066086E-4","0.8375515"
"1144035.json","0.9971916","0.53755057","0.2633357","0.0010742439","0.9469976"
"330315.json","0.9968465","0.5250939","0.280602","6.121824E-4","0.9746923"
"18936.json","0.9959174","0.40190563","0.06437441","0.0012782689","0.7381336"
"3043.json","0.98529994","0.6322959","0.09533429","5.041549E-4","0.9666328"
"12711.json","0.9972317","0.27150172","0.08454066","8.81758E-4","0.86941016"
"1048572.json","0.9961587","0.46217296","0.05568548","0.0015162468","0.8566895"
"15168.json","0.9996553","0.49271572","0.1615052","7.91243E-4","0.9357307"
"2901002.json","0.99772996","0.7107571","0.46581262","0.018456193","0.9536314"
"223092.json","0.9958932","0.6803737","0.22696993","0.010274419","0.9747623"
"65358.json","0.99658823","0.47695592","0.19496979","0.0026372278","0.9199278"
"53114.json","0.998791","0.56012684","0.12668295","4.8174083E-4","0.9641237"
"413501.json","0.9990365","0.5025518","0.30829665","0.001425067","0.9014038"
"87234.json","0.9872523","0.81145316","0.017156944","0.0020050323","0.9254186"
"203907.json","0.9979584","0.5863903","0.17847481","5.830738E-4","0.93346184"
"29407.json","0.9961885","0.6136627","0.41001153","0.0012509888","0.9824855"
"70604.json","0.99803215","0.17731263","0.3904584","2.1026157E-4","0.7805347"
"992484.json","0.99790454","0.48631302","0.09973221","7.4062345E-4","0.9186065"
"1583.json","0.998268","0.5810975","0.2628889","4.0908737E-4","0.9660696"
"33708.json","0.9973688","0.42021275","0.14638354","4.288658E-4","0.9375369"
"139459.json","0.99405235","0.62470543","0.27836183","0.0023411992","0.97605187"
"505088.json","0.99824893","0.4777631","0.12213863","4.1074108E-4","0.93078226"
"22656.json","0.9972028","0.2705756","0.11232544","0.0012725478","0.84398705"
"19068.json","0.99887645","0.40853715","0.17435859","2.0825176E-4","0.97143286"
"939860.json","0.99717337","0.43742797","0.5585117","0.0050893794","0.8988192"
"23354.json","0.99775857","0.35992035","0.2012791","0.006413905","0.91546154"
"106224.json","0.9992349","0.6392875","0.065557055","2.7969907E-4","0.8677051"
"14860.json","0.99894166","0.5004246","0.14294776","6.708762E-4","0.9358707"
"440558.json","0.9983553","0.6172769","0.121351324","6.938714E-4","0.9710739"
"893.json","0.99524784","0.44076684","0.12802441","5.888795E-4","0.9478957"
"157247.json","0.9992767","0.22001883","0.27087864","0.003072022","0.91643465"
"2988.json","0.9993933","0.67592984","0.16992857","0.012209761","0.9373205"
"157882.json","0.9999985","0.4138397","0.2397315","0.0063842675","0.5705982"
"479863.json","0.996468","0.441802","0.28160852","0.0040187193","0.9282388"
"560648.json","0.99991804","0.4271446","0.19019584","0.008645783","0.88352245"
"1271826.json","0.99549395","0.49034467","0.25217772","0.001125638","0.94940215"
"138475.json","0.99415576","0.5090484","0.17086871","0.005420338","0.9519847"
"149392.json","0.9989402","0.44091743","0.09289333","0.00131982","0.8966267"
"31671.json","0.99478793","0.39895725","0.10293155","0.0012403001","0.92284817"
"187606.json","0.98921436","0.35315266","0.1064899","5.869724E-4","0.82730836"
"182668.json","0.9990285","0.23860943","0.1194616","5.728424E-4","0.91225946"
"1187415.json","0.99897736","0.38217345","0.1536087","1.4116781E-4","0.9138273"
"119963.json","0.9509313","0.7551218","0.11945322","0.028173508","0.94621396"
"139985.json","0.995926","0.519638","0.31882578","5.708635E-5","0.975166"
"227665.json","0.9954356","0.652923","0.10899976","0.0010968396","0.96366906"
"3832970.json","0.9980942","0.24434078","0.0756476","7.896106E-5","0.76497054"
"28169.json","0.9984459","0.31445837","0.0969707","9.5499936E-4","0.8927113"
"734069.json","0.9948604","0.7630345","0.049196362","0.042047687","0.97904557"
"9021.json","0.99985737","0.16397713","0.4354109","0.14661922","0.8985443"
"367273.json","0.9954675","0.3028679","0.10118129","1.5587777E-4","0.8206302"
"21234.json","0.9966778","0.46697268","0.13551067","4.930743E-4","0.9175739"
"28804.json","0.9968868","0.4095085","0.12356171","6.8630127E-4","0.9528196"
"95810.json","0.9999162","0.29278463","0.11174775","9.4881625E-4","0.76304346"
"55159.json","0.9978869","0.6416835","0.295648","0.0016929029","0.93599164"
"100297.json","0.9962032","0.5057836","0.23402801","1.6359113E-4","0.97242725"
"179910.json","0.9979843","0.23151934","0.06623154","0.003961102","0.8426697"
"548225.json","0.99082196","0.57662505","0.24485222","0.003391308","0.959084"
"922184.json","0.9662616","0.6580328","0.40606353","0.0030727533","0.94180024"
"77567.json","0.9968999","0.18662627","0.053923205","7.804648E-5","0.73391014"
"69083.json","0.9989357","0.48984826","0.17082797","1.9868834E-4","0.9848842"
"10661.json","0.99500656","0.39010802","0.13754578","2.613393E-4","0.8615555"
"61974.json","0.99884963","0.5269279","0.17843984","0.0024856161","0.95179385"
"148870.json","0.99680865","0.46989396","0.08521368","6.331286E-4","0.94852763"
"73226.json","0.99616337","0.5682617","0.14898388","0.0034086374","0.8838176"
"17034.json","0.9958867","0.47034118","0.13919431","3.3577144E-4","0.9617883"
"571407.json","0.9980768","0.52351475","0.11050777","2.269959E-4","0.95149875"
"5445.json","0.9987158","0.435596","0.16186623","1.2652716E-4","0.94919264"
"115145.json","0.95428824","0.42902467","0.052635927","1.9102708E-4","0.9491783"
"57695.json","0.9940219","0.4456708","0.08994691","0.0015200592","0.93012923"
"65863.json","0.99853903","0.7433222","0.12568286","4.654545E-4","0.9964448"
"118068.json","0.9907271","0.3831636","0.14961047","3.6158672E-4","0.9653915"
"34397.json","0.9960101","0.54140764","0.1624852","0.0011260646","0.9724554"
"151292.json","0.9989486","0.5199259","0.12847082","6.781918E-4","0.9296638"
"13302.json","0.9907406","0.42730072","0.4537571","0.0064894063","0.91631824"
"19563.json","0.9986079","0.4923269","0.12622502","5.076844E-4","0.9349964"
"341994.json","0.98885596","0.38694507","0.0833318","9.7494683E-4","0.90983146"
"20862.json","0.99618894","0.4081502","0.08524111","9.8686E-5","0.95519775"
"596781.json","0.9994071","0.6658672","0.10738855","0.0040538143","0.8987645"
"279627.json","0.9973806","0.43425006","0.099165685","2.4663843E-4","0.94417614"
"34509.json","0.9996675","0.6672289","0.11923325","0.008157392","0.8366721"
"1968.json","0.99530244","0.21914801","0.17757381","3.392415E-4","0.84835565"
"771848.json","0.9971831","0.50409186","0.13743009","5.4190913E-4","0.9433451"
"224671.json","0.9933652","0.4096553","0.0823927","1.8320495E-4","0.90087765"
"276052.json","0.9990596","0.4885685","0.19245556","0.0011621505","0.93327475"
"284240.json","0.99395645","0.42430758","0.30447143","5.679759E-4","0.94618285"
"114251.json","0.99352","0.47539616","0.052126825","5.4889024E-5","0.9741513"
"190597.json","0.99741656","0.45611313","0.16236725","4.949668E-4","0.92136294"
"218196.json","0.98918474","0.6038947","0.13459681","0.0024448263","0.9578334"
"50079.json","0.9970268","0.6839071","0.19796494","0.011387831","0.9610619"
"217408.json","0.99738824","0.35664904","0.10512741","9.366964E-5","0.9168211"
"1491895.json","0.9969271","0.43535393","0.11275888","2.0837538E-4","0.95908535"
